id,apple,weight(g),type
154,smith,230,0
155,smith,244,0
156,fuji,155,0
157,gala,141,0
158,gala,156,0
159,fuji,113,0
160,gala,97,0
161,gala,148,0
162,crab,47,1
163,fuji,141,0
164,crab,32,1
165,smith,247,0
166,fuji,145,0
167,crab,53,1
168,fuji,69,0
169,gala,176,0
170,smith,244,0
171,smith,214,0
172,crab,53,1
173,crab,38,1
174,fuji,149,0
175,gala,133,0
176,smith,185,0
177,gala,85,0
178,fuji,146,0
179,fuji,173,0
180,smith,195,0
181,gala,178,0
182,crab,32,1
183,fuji,86,0
184,gala,93,0
185,fuji,116,0
186,gala,177,0
187,fuji,137,0
188,smith,235,0
189,gala,155,0
190,fuji,152,0
191,gala,100,0
192,smith,189,0
193,0,65,0
194,fuji,129,0
195,fuji,84,0
196,smith,213,0
197,crab,59,1
198,smith,190,0
199,gala,77,0
200,crab,44,1
201,smith,270,0
202,smith,193,0
203,crab,43,1
204,fuji,165,0
205,fuji,132,0
206,fuji,101,0
207,gala,137,0
208,gala,80,0
209,smith,247,0
210,smith,217,0
211,fuji,144,0
212,gala,122,0
213,gala,139,0
214,smith,202,0
215,smith,295,0
216,smith,284,0
217,smith,262,0
218,smith,222,0
219,smith,188,0
220,crab,46,1
221,crab,43,1
222,crab,63,1
223,gala,88,0
224,smith,212,0
225,smith,272,0
226,smith,212,0
227,smith,281,0
228,smith,264,0
229,smith,255,0
230,smith,238,0
231,fuji,132,0
232,fuji,115,0
233,fuji,93,0
234,smith,277,0
235,gala,171,0
236,smith,282,0
237,gala,120,0
238,gala,146,0
239,gala,167,0
240,gala,133,0
241,fuji,85,0
242,fuji,119,0
243,smith,197,0
244,fuji,133,0
245,smith,254,0
246,fuji,88,0
247,fuji,86,0
248,smith,239,0
249,smith,184,0
250,fuji,156,0
251,gala,132,0
252,0,180,0
253,gala,79,0
254,smith,186,0
255,gala,132,0
256,fuji,144,0
257,gala,149,0
258,smith,257,0
259,crab,33,1
260,fuji,159,0
261,fuji,88,0
262,smith,203,0
263,smith,274,0
264,gala,179,0
265,smith,220,0
266,fuji,113,0
267,smith,241,0
268,smith,277,0
269,smith,288,0
270,gala,67,0
271,smith,196,0
272,smith,263,0
273,smith,246,0
274,smith,212,0
275,fuji,123,0
276,smith,208,0
277,smith,280,0
278,smith,290,0
279,gala,179,0
280,smith,196,0
281,crab,39,1
282,smith,270,0
283,smith,266,0
284,smith,182,0
285,smith,218,0
286,fuji,104,0
287,fuji,84,0
288,crab,51,1
289,fuji,90,0
290,smith,226,0
291,fuji,79,0
292,gala,106,0
293,smith,188,0
294,crab,61,1
295,gala,102,0
296,smith,289,0
297,crab,41,1
298,smith,276,0
299,gala,75,0
300,gala,90,0
301,smith,268,0
302,smith,188,0
303,smith,212,0
304,smith,239,0
305,gala,171,0
306,gala,67,0
307,smith,273,0
308,0,180,0
309,gala,172,0
310,smith,191,0
311,gala,84,0
312,fuji,72,0
313,smith,257,0
314,crab,45,1
315,gala,143,0
316,smith,229,0
317,smith,232,0
318,fuji,85,0
319,fuji,154,0
320,smith,274,0
321,gala,165,0
322,fuji,146,0
323,gala,136,0
324,smith,259,0
325,fuji,131,0
326,smith,196,0
327,gala,163,0
328,fuji,117,0
329,gala,152,0
330,smith,293,0
331,smith,280,0
332,smith,206,0
333,gala,159,0
334,fuji,163,0
335,fuji,117,0
336,gala,106,0
337,fuji,163,0
338,smith,238,0
339,gala,173,0
340,gala,121,0
341,gala,131,0
342,smith,252,0
343,smith,207,0
344,fuji,105,0
345,smith,256,0
346,crab,44,1
347,gala,71,0
348,smith,283,0
349,fuji,89,0
350,smith,262,0
351,smith,217,0
352,fuji,125,0
353,gala,70,0
354,crab,58,1
355,gala,71,0
356,gala,88,0
357,smith,234,0
358,fuji,163,0
359,fuji,73,0
360,smith,257,0
361,smith,282,0
362,smith,282,0
363,smith,213,0
364,smith,276,0
365,smith,184,0
366,smith,211,0
367,smith,216,0
368,smith,286,0
369,smith,238,0
370,crab,32,1
371,smith,285,0
372,smith,252,0
373,smith,215,0
374,fuji,107,0
375,fuji,157,0
376,crab,51,1
377,crab,46,1
378,fuji,157,0
379,smith,294,0
380,gala,130,0
381,gala,72,0
382,gala,172,0
383,fuji,67,0
384,gala,93,0
385,smith,189,0
386,gala,103,0
387,0,300,0
388,fuji,99,0
389,fuji,162,0
390,smith,297,0
391,fuji,107,0
392,crab,56,1
393,smith,294,0
394,smith,226,0
395,smith,272,0
396,gala,137,0
397,smith,240,0
398,smith,253,0
399,smith,195,0
400,smith,198,0
401,smith,246,0
402,smith,252,0
403,smith,181,0
404,fuji,173,0
405,fuji,94,0
406,smith,228,0
407,crab,42,1
408,crab,41,1
409,smith,185,0
410,smith,263,0
411,gala,164,0
412,smith,235,0
413,crab,43,1
414,fuji,116,0
415,fuji,121,0
416,smith,273,0
417,smith,223,0
418,gala,135,0
419,gala,176,0
420,gala,106,0
421,crab,57,1
422,crab,55,1
423,smith,190,0
424,smith,182,0
425,smith,262,0
426,smith,188,0
427,gala,97,0
428,smith,234,0
429,fuji,116,0
430,gala,71,0
431,gala,165,0
432,smith,266,0
433,gala,88,0
434,smith,265,0
435,gala,128,0
436,gala,91,0
437,fuji,113,0
438,fuji,125,0
439,smith,252,0
440,smith,280,0
441,fuji,78,0
442,smith,191,0
443,gala,175,0
444,gala,68,0
445,smith,266,0
446,gala,73,0
447,gala,158,0
448,smith,231,0
449,smith,278,0
450,smith,297,0
451,gala,100,0
452,gala,143,0
453,smith,217,0
454,fuji,146,0
455,smith,257,0
456,fuji,156,0
457,smith,194,0
458,fuji,118,0
459,fuji,75,0
460,smith,231,0
461,fuji,120,0
462,smith,247,0
463,smith,248,0
464,crab,36,1
465,crab,61,1
466,smith,234,0
467,fuji,138,0
468,fuji,137,0
469,fuji,140,0
470,smith,253,0
471,fuji,151,0
472,smith,212,0
473,fuji,111,0
474,smith,253,0
475,smith,196,0
476,gala,147,0
477,gala,77,0
478,gala,130,0
479,smith,267,0
480,gala,105,0
481,smith,245,0
482,gala,127,0
483,smith,291,0
484,smith,187,0
485,smith,267,0
486,smith,264,0
487,smith,208,0
488,smith,285,0
489,smith,287,0
490,smith,295,0
491,smith,250,0
492,smith,278,0
493,smith,243,0
494,smith,220,0
495,smith,282,0
496,gala,159,0
497,smith,182,0
498,smith,266,0
499,crab,32,1
500,smith,257,0
501,gala,131,0
502,smith,258,0
503,crab,58,1
504,fuji,169,0
505,smith,253,0
506,smith,212,0
507,gala,155,0
508,smith,234,0
509,smith,201,0
510,gala,118,0
511,crab,62,1
512,fuji,83,0
513,smith,289,0
514,fuji,91,0
515,gala,91,0
516,smith,212,0
517,crab,41,1
518,smith,220,0
519,gala,83,0
520,fuji,169,0
521,smith,260,0
522,fuji,172,0
523,gala,95,0
524,gala,124,0
525,smith,262,0
526,smith,181,0
527,smith,200,0
528,smith,241,0
529,gala,166,0
530,crab,31,1
531,gala,148,0
532,smith,221,0
533,fuji,96,0
534,gala,87,0
535,crab,53,1
536,fuji,124,0
537,smith,200,0
538,fuji,83,0
539,smith,287,0
540,crab,44,1
541,crab,30,1
542,smith,241,0
543,fuji,133,0
544,crab,47,1
545,fuji,132,0
546,smith,296,0
547,fuji,133,0
548,smith,235,0
549,fuji,71,0
550,gala,171,0
551,0,180,0
552,gala,104,0
553,smith,282,0
554,smith,214,0
555,crab,64,1
556,fuji,155,0
557,smith,227,0
558,gala,126,0
559,gala,141,0
560,smith,258,0
561,fuji,80,0
562,gala,91,0
563,smith,283,0
564,smith,250,0
565,fuji,74,0
566,smith,183,0
567,smith,201,0
568,fuji,115,0
569,smith,206,0
570,smith,215,0
571,smith,294,0
572,crab,37,1
573,smith,228,0
574,crab,63,1
575,smith,226,0
576,crab,55,1
577,smith,239,0
578,crab,42,1
579,gala,86,0
580,smith,252,0
581,gala,144,0
582,smith,210,0
583,gala,93,0
584,smith,291,0
585,gala,147,0
586,smith,287,0
587,crab,47,1
588,fuji,82,0
589,smith,239,0
590,smith,250,0
591,crab,43,1
592,gala,144,0
593,smith,186,0
594,gala,67,0
595,smith,240,0
596,gala,95,0
597,smith,249,0
598,smith,290,0
599,smith,282,0
600,gala,165,0
601,smith,203,0
602,gala,156,0
603,gala,69,0
604,smith,271,0
605,smith,222,0
606,gala,85,0
607,smith,290,0
608,smith,279,0
609,smith,219,0
610,gala,106,0
611,fuji,123,0
612,fuji,66,0
613,gala,142,0
614,fuji,105,0
615,smith,232,0
616,gala,86,0
617,fuji,146,0
618,smith,230,0
619,gala,82,0
620,gala,128,0
621,gala,113,0
622,smith,207,0
623,smith,274,0
624,smith,188,0
625,smith,215,0
626,smith,242,0
627,gala,141,0
628,smith,195,0
629,crab,50,1
630,crab,56,1
631,fuji,90,0
632,fuji,100,0
633,fuji,91,0
634,smith,209,0
635,smith,200,0
636,smith,257,0
637,smith,281,0
638,gala,91,0
639,smith,269,0
640,fuji,164,0
641,crab,54,1
642,gala,165,0
643,smith,232,0
644,fuji,67,0
645,smith,186,0
646,smith,238,0
647,gala,73,0
648,smith,252,0
649,smith,285,0
650,gala,156,0
651,smith,242,0
652,fuji,92,0
653,gala,140,0
654,fuji,127,0
655,smith,225,0
656,smith,224,0
657,smith,284,0
658,fuji,116,0
659,smith,264,0
660,crab,35,1
661,smith,228,0
662,crab,57,1
663,crab,58,1
664,crab,46,1
665,crab,50,1
666,smith,188,0
667,gala,135,0
668,gala,124,0
669,fuji,66,0
670,fuji,114,0
671,smith,192,0
672,smith,226,0
673,gala,84,0
674,gala,165,0
675,gala,113,0
676,crab,32,1
677,fuji,153,0
678,smith,187,0
679,smith,274,0
680,gala,128,0
681,crab,30,1
682,smith,295,0
683,fuji,111,0
684,smith,240,0
685,smith,280,0
686,fuji,99,0
687,fuji,73,0
688,0,180,0
689,crab,54,1
690,crab,61,1
691,fuji,117,0
692,gala,152,0
693,gala,135,0
694,smith,250,0
695,gala,164,0
696,crab,32,1
697,gala,132,0
698,gala,75,0
699,crab,62,1
700,gala,141,0
701,crab,51,1
702,0,300,0
703,fuji,142,0
704,gala,168,0
705,smith,220,0
706,smith,276,0
707,smith,284,0
708,gala,172,0
709,gala,134,0
710,gala,170,0
711,fuji,134,0
712,gala,162,0
713,fuji,74,0
714,gala,166,0
715,smith,275,0
716,smith,181,0
717,smith,297,0
718,gala,170,0
719,smith,184,0
720,gala,103,0
721,smith,296,0
722,gala,177,0
723,smith,293,0
724,smith,236,0
725,smith,186,0
726,fuji,157,0
727,crab,47,1
728,crab,37,1
729,smith,226,0
730,smith,297,0
731,smith,224,0
732,fuji,106,0
733,gala,143,0
734,fuji,80,0
735,smith,228,0
736,crab,41,1
737,smith,276,0
738,smith,271,0
739,crab,45,1
740,crab,31,1
741,crab,48,1
742,smith,198,0
743,smith,213,0
744,fuji,143,0
745,smith,277,0
746,fuji,70,0
747,fuji,177,0
748,smith,283,0
749,gala,162,0
750,crab,33,1
751,fuji,119,0
752,smith,237,0
753,smith,241,0
754,smith,295,0
755,fuji,176,0
756,smith,209,0
757,fuji,101,0
758,smith,238,0
759,fuji,90,0
760,smith,206,0
761,0,65,0
762,fuji,166,0
763,smith,196,0
764,gala,66,0
765,fuji,119,0
766,smith,213,0
767,smith,190,0
768,smith,193,0
769,fuji,104,0
770,gala,152,0
771,fuji,179,0
772,fuji,169,0
773,fuji,98,0
774,fuji,144,0
775,gala,139,0
776,gala,114,0
777,fuji,141,0
778,crab,61,1
779,crab,52,1
780,fuji,101,0
781,smith,208,0
782,gala,162,0
783,smith,297,0
784,smith,294,0
785,fuji,138,0
786,fuji,94,0
787,smith,248,0
788,fuji,149,0
789,smith,262,0
790,smith,217,0
791,crab,54,1
792,smith,186,0
793,smith,206,0
794,smith,287,0
795,smith,248,0
796,smith,263,0
797,smith,181,0
798,gala,93,0
799,crab,46,1
800,gala,117,0
801,smith,194,0
802,crab,33,1
803,fuji,162,0
804,fuji,160,0
805,gala,124,0
806,smith,293,0
807,gala,89,0
808,gala,151,0
809,gala,66,0
810,smith,239,0
811,smith,234,0
812,smith,269,0
813,smith,239,0
814,smith,257,0
815,crab,56,1
816,smith,263,0
817,smith,247,0
818,fuji,99,0
819,fuji,122,0
820,fuji,104,0
821,smith,256,0
822,smith,190,0
823,smith,298,0
824,gala,174,0
825,crab,60,1
826,gala,125,0
827,fuji,113,0
828,smith,280,0
829,smith,290,0
830,smith,224,0
831,smith,268,0
832,smith,199,0
833,fuji,171,0
834,smith,233,0
835,fuji,135,0
836,gala,122,0
837,0,180,0
838,fuji,80,0
839,smith,237,0
840,crab,44,1
841,smith,220,0
842,smith,247,0
843,smith,193,0
844,fuji,106,0
845,smith,201,0
846,smith,297,0
847,crab,45,1
848,smith,197,0
849,crab,41,1
850,fuji,82,0
851,fuji,129,0
852,smith,260,0
853,crab,63,1
854,gala,89,0
855,gala,146,0
856,gala,153,0
857,fuji,119,0
858,smith,289,0
859,smith,185,0
860,gala,165,0
861,smith,261,0
862,fuji,153,0
863,gala,96,0
864,fuji,145,0
865,gala,123,0
866,gala,99,0
867,smith,197,0
868,smith,289,0
869,crab,56,1
870,smith,258,0
871,smith,280,0
872,fuji,107,0
873,crab,38,1
874,fuji,101,0
875,smith,205,0
876,crab,45,1
877,gala,154,0
878,gala,106,0
879,fuji,102,0
880,gala,109,0
881,smith,289,0
882,smith,219,0
883,smith,188,0
884,smith,192,0
885,fuji,118,0
886,smith,228,0
887,smith,187,0
888,smith,284,0
889,gala,162,0
890,fuji,85,0
891,crab,46,1
892,gala,114,0
893,smith,285,0
894,smith,248,0
895,fuji,127,0
896,crab,42,1
897,crab,64,1
898,gala,102,0
899,gala,113,0
900,smith,298,0
901,gala,126,0
902,crab,33,1
903,fuji,173,0
904,fuji,117,0
905,crab,38,1
906,gala,116,0
907,gala,90,0
908,smith,242,0
909,smith,228,0
910,fuji,93,0
911,smith,248,0
912,gala,139,0
913,fuji,66,0
914,smith,241,0
915,crab,40,1
916,fuji,74,0
917,fuji,79,0
918,smith,205,0
919,fuji,80,0
920,smith,209,0
921,smith,234,0
922,smith,213,0
923,gala,82,0
924,smith,271,0
925,smith,288,0
926,smith,289,0
927,smith,229,0
928,fuji,152,0
929,fuji,170,0
930,0,65,0
931,smith,239,0
932,gala,152,0
933,fuji,178,0
934,gala,118,0
935,crab,45,1
936,gala,85,0
937,gala,148,0
938,crab,62,1
939,smith,232,0
940,crab,59,1
941,smith,181,0
942,smith,181,0
943,fuji,78,0
944,smith,271,0
945,crab,40,1
946,fuji,108,0
947,smith,193,0
948,fuji,109,0
949,smith,242,0
950,gala,73,0
951,fuji,66,0
952,crab,59,1
953,fuji,116,0
954,crab,44,1
955,smith,232,0
956,crab,64,1
957,gala,108,0
958,gala,105,0
959,fuji,110,0
960,gala,86,0
961,0,300,0
962,smith,208,0
963,gala,168,0
964,crab,64,1
965,smith,194,0
966,gala,177,0
967,fuji,86,0
968,smith,287,0
969,fuji,73,0
970,gala,83,0
971,fuji,129,0
972,fuji,101,0
973,crab,53,1
974,smith,189,0
975,crab,49,1
976,smith,200,0
977,fuji,85,0
978,gala,167,0
979,smith,231,0
980,gala,82,0
981,fuji,167,0
982,smith,258,0
983,fuji,121,0
984,crab,42,1
985,fuji,141,0
986,fuji,94,0
987,fuji,115,0
988,fuji,132,0
989,smith,253,0
990,smith,210,0
991,smith,237,0
992,fuji,89,0
993,smith,224,0
994,smith,206,0
995,smith,190,0
996,fuji,176,0
997,fuji,90,0
998,smith,217,0
999,smith,266,0
1000,smith,243,0
